ID,name,country,location,redemption_account,volume_required,start_date,end_date,redemption_purpose,supply_remaining,totalSealed_GiB,total_time_hours,initial_capacity_GiB,final_capacity_GiB,time_average_capacity_GiB,total_energy_upper_MWh
,f02299,CN,CN-BJ,Longli Jia Tuo Mountain Windfarm,7,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02299,15525,0,2183.991666666670,112704,112704,112704,4.131735433733200
,f02381,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,7,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02381,15518,0,2183.991666666670,115296,115296,115296.00000000000,4.226758309977490
,f02399,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,168,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02399,15350,0,2183.991666666670,3041280,3041280,3041280,111.4935081266330
,f02405,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,71,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02405,15279,96,2183.991666666670,1280864,1280960,1280879.610682280,46.96826453987710
,f02416,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,884,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02416,14395,0,2183.991666666670,16061664,16061664,16061664.000000000,588.8215704279960
,f02417,CN,CN-HE,Longli Jia Tuo Mountain Windfarm,100,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02417,14295,0,2183.991666666670,1814208,1814208,1814208,66.50897463942920
,f02419,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,338,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02419,13957,1561280,2183.991666666670,766112,2327392,1198474.3360589800,225.12271091134300
,f02422,CN,CN-SN,Longli Jia Tuo Mountain Windfarm,532,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02422,13425,1289312,2183.991666666670,4993728,6283008,5588548.142750890,354.50119045243600
,f02492,CN,HK,Longli Jia Tuo Mountain Windfarm,59,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02492,13366,193152,2183.991666666670,376192,569312,448841.2262867310,38.86983916726800
,f02625,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,127,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02625,13239,379040,2183.991666666670,849216,1228192,1092250.325253070,84.02956095673270
,f02723,CN,CN-AH,Longli Jia Tuo Mountain Windfarm,207,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02723,13032,0,2183.991666666670,3763200,3763200,3763200,137.95913884356200
,f02725,CN,HK,Longli Jia Tuo Mountain Windfarm,9,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02725,13023,0,2183.991666666670,159168,159168,159168,5.835108474556760
,f02838,CN,CN-SC,Longli Jia Tuo Mountain Windfarm,305,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f02838,12718,0,2183.991666666670,5543552,5543552,5543552.000000000,203.2269504821700
,f03134,CN,CN-TJ,Longli Jia Tuo Mountain Windfarm,72,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f03134,12646,34016,2183.991666666670,1158656,1192640,1191773.022699260,47.63802820730750
,f03144,CN,HK,Longli Jia Tuo Mountain Windfarm,197,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f03144,12449,0,2183.991666666670,3570176,3570176,3570176,130.8828673681840
,f03249,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,29,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f03249,12420,0,2183.991666666670,520896,520896,520896,19.09607875931540
,f03328,CN,CN-HA,Longli Jia Tuo Mountain Windfarm,249,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f03328,12171,984256,2183.991666666670,1244704,2228928,1395662.468553360,165.3879951076040
,f03345,CN,CN-FJ,Longli Jia Tuo Mountain Windfarm,11,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f03345,12160,0,2183.991666666670,197920,197920,197920.00000000000,7.25575913050534
,f03358,CN,CN-NM,Longli Jia Tuo Mountain Windfarm,8,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f03358,12152,0,2183.991666666670,127872,127872,127872.00000000000,4.687795228051630
,f03363,CN,CN-NM,Longli Jia Tuo Mountain Windfarm,37,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f03363,12115,32,2183.991666666670,667136,667136,667136,24.4609595751025
,f03364,CN,CN-NM,Longli Jia Tuo Mountain Windfarm,69,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f03364,12046,69728,2183.991666666670,1017376,1087104,1024877.7349730400,45.664015082370700
,f03482,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,134,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f03482,11912,0,2183.991666666670,2427520,2427520,2427520,88.99302952952870
,f04443,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,1,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f04443,11911,0,2183.991666666670,16192,16192,16192,0.5935996960445760
,f05664,CN,HK,Longli Jia Tuo Mountain Windfarm,10,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f05664,11901,9856,2183.991666666670,132512,142336,140436.9726074960,6.292216842278400
,f07945,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,8,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f07945,11893,0,2183.991666666670,127776,127776,127776.00000000000,4.684275862264810
,f07969,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,8,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f07969,11885,0,2183.991666666670,142432,142432,142432,5.221565705720170
,f07998,CN,CN-HB,Longli Jia Tuo Mountain Windfarm,3,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f07998,11882,0,2183.991666666670,46848,46848,46848.00000000000,1.7174505039708700
,f08019,CN,CN-SD,Longli Jia Tuo Mountain Windfarm,18,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f08019,11864,0,2183.991666666670,318208,318208,318208,11.665524461397800
,f08094,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,76,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f08094,11788,138080,2183.991666666670,868736,1006784,933134.2170261630,50.232942900920500
,f08148,CN,HK,Longli Jia Tuo Mountain Windfarm,108,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f08148,11680,0,2183.991666666670,1954496,1954496,1954496.0000000000,71.65194117591030
,f08157,CN,CN-BJ,Longli Jia Tuo Mountain Windfarm,40,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f08157,11640,5312,2183.991666666670,700256,705536,704932.7734003870,26.459335652593000
,f08242,CN,HK,Longli Jia Tuo Mountain Windfarm,3,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f08242,11637,0,2183.991666666670,54080,54080,54080.000000000000,1.9825760599117300
,f09002,CN,CN-SN,Longli Jia Tuo Mountain Windfarm,441,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f09002,11196,0,2183.991666666670,8010592,8010592,8010592.000000000,293.66878559394200
,f09620,CN,CN-SD,Longli Jia Tuo Mountain Windfarm,119,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f09620,11077,0,2183.991666666670,2155744,2155744,2155744,79.0297049870256
,f09693,CN,CN-XJ,Longli Jia Tuo Mountain Windfarm,134,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f09693,10943,0,2183.991666666670,2421696,2421696,2421696,88.7795213384613
,f010399,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,30,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f010399,10913,12704,2183.991666666670,494240,506944,500499.44366393300,19.822639182099300
,f010400,CN,CN-LN,Longli Jia Tuo Mountain Windfarm,465,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f010400,10448,2203072,2183.991666666670,488608,2691648,1473217.4448162700,309.67478192529000
,f010507,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,13,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f010507,10435,28544,2183.991666666670,133696,162208,143851.70077724700,8.586143688142390
,f010528,CN,CN-CQ,Longli Jia Tuo Mountain Windfarm,11,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f010528,10424,0,2183.991666666670,189472,189472,189472,6.946054941264690
,f014251,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,276,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f014251,10148,35136,2183.991666666670,4862720,4897824,4894387.23133101,183.50606430553000
,f014394,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,2,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f014394,10146,0,2183.991666666670,21920,21920,21920,0.8035885213251670
,f014522,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,38,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f014522,10108,20640,2183.991666666670,603328,623936,620903.658637281,25.15763789057780
,f014569,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,155,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f014569,9953,0,2183.991666666670,2815232,2815232,2815232,103.20657482058800
,f015233,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,92,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f015233,9861,205056,2183.991666666670,956768,1161792,1020243.6518454300,61.198945926550700
,f015685,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,1,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f015685,9860,0,2183.991666666670,12064,12064,12064,0.4422669672110770
,f015897,CN,HK,Longli Jia Tuo Mountain Windfarm,43,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f015897,9817,0,2183.991666666670,764192,764192,764192,28.01532478506030
,f016276,CN,CN-BJ,Longli Jia Tuo Mountain Windfarm,1,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f016276,9816,0,2183.991666666670,4864,4864,4864.000000000000,0.17831453319916100
,f017665,CN,CN-LN,Longli Jia Tuo Mountain Windfarm,127,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f017665,9689,422720,2183.991666666670,642784,1065504,969746.1973832300,84.6076169581855
,f019002,CN,CN-FJ,Longli Jia Tuo Mountain Windfarm,717,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f019002,8972,1876704,2183.991666666670,5795104,7671744,7096990.802681640,477.96764049032900
,f019240,CN,CN-BJ,Longli Jia Tuo Mountain Windfarm,51,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f019240,8921,9440,2183.991666666670,877664,886912,886816.6609304830,33.60626440074680
,f019362,CN,CN-HB,Longli Jia Tuo Mountain Windfarm,14,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f019362,8907,48704,2183.991666666670,58144,106816,85236.65758797910,8.776881000914750
,f019638,CN,CN-NM,Longli Jia Tuo Mountain Windfarm,2,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f019638,8905,64,2183.991666666670,35968,36032,36029.81134696030,1.3282822568817800
,f020331,CN,CN-XX,Longli Jia Tuo Mountain Windfarm,544,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f020331,8361,0,2183.991666666670,9878688,9878688,9878688.000000000,362.15329756170900
,f020398,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,1,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f020398,8360,0,2183.991666666670,11392,11392,11392.000000000000,0.41763140670329900
,f020436,CN,CN-BJ,Longli Jia Tuo Mountain Windfarm,1,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f020436,8359,1824,2183.991666666670,11488,13312,12213.77908187990,0.6594331071817580
,f020523,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,2,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f020523,8357,0,2183.991666666670,22016,22016,22016.000000000000,0.8071078871119930
,f020742,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,277,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f020742,8080,0,2183.991666666670,5029056,5029056,5029056.000000000,184.36549610864300
,f021444,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,2,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f021444,8078,0,2183.991666666670,25120,25120,25120.000000000000,0.920900714219352
,f021525,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,909,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f021525,7169,0,2183.991666666670,16518752,16518752,16518752.000000000,605.5784440610010
,f021532,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,72,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f021532,7097,0,2183.991666666670,1304640,1304640,1304640,47.82818104295920
,f021961,CN,CN-FJ,Longli Jia Tuo Mountain Windfarm,461,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f021961,6636,666432,2183.991666666670,5828704,6495040,6272723.360269250,307.2978609917900
,f022111,CN,CN-FJ,Longli Jia Tuo Mountain Windfarm,65,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022111,6571,0,2183.991666666670,1181696,1181696,1181696.0000000000,43.32104659196460
,f022227,CN,CN-JS,Longli Jia Tuo Mountain Windfarm,41,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022227,6530,0,2183.991666666670,743936,743936,743936,27.272738604040100
,f022289,CN,CN-SC,Longli Jia Tuo Mountain Windfarm,53,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022289,6477,32,2183.991666666670,949440,949472,949471.99377287,34.811414125869500
,f022308,CN,CN-AH,Longli Jia Tuo Mountain Windfarm,35,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022308,6442,0,2183.991666666670,626336,626336,626336,22.961515515178800
,f022399,CN,CN-BJ,Longli Jia Tuo Mountain Windfarm,17,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022399,6425,65568,2183.991666666670,57536,123104,84476.83039083660,10.706093165588200
,f022566,CN,CN-XX,Longli Jia Tuo Mountain Windfarm,13,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022566,6412,45824,2183.991666666670,32288,78080,75800.25198508850,8.096717755638390
,f022687,CN,CN-SC,Longli Jia Tuo Mountain Windfarm,2,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022687,6410,0,2183.991666666670,35808,35808,35808,1.3127234384859300
,f022748,CN,CN-HA,Longli Jia Tuo Mountain Windfarm,132,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022748,6278,0,2183.991666666670,2388800,2388800,2388800,87.57355199550910
,f022832,CN,CN-BJ,Longli Jia Tuo Mountain Windfarm,90,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022832,6188,182176,2183.991666666670,948320,1130464,1059284.9839628500,59.97497914155310
,f022853,CN,CN-FJ,Longli Jia Tuo Mountain Windfarm,200,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f022853,5988,0,2183.991666666670,3622688,3622688,3622688,132.8079604535780
,f023152,CN,CN-SD,Longli Jia Tuo Mountain Windfarm,215,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023152,5773,0,2183.991666666670,3892256,3892256,3892256.0000000000,142.690339582984
,f023179,CN,CN-XX,Longli Jia Tuo Mountain Windfarm,8,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023179,5765,0,2183.991666666670,128544,128544,128544,4.712430788559410
,f023198,CN,CN-SN,Longli Jia Tuo Mountain Windfarm,1006,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023198,4759,3399648,2183.991666666670,5409792,8809344,7523286.524261800,670.3333434220590
,f023200,CN,CN-SH,Longli Jia Tuo Mountain Windfarm,162,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023200,4597,0,2183.991666666670,2943808,2943808,2943808,107.92017873107700
,f023462,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,5,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023462,4592,13504,2183.991666666670,30848,44352,34192.21874320340,2.820628220840660
,f023534,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,4,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023534,4588,9408,2183.991666666670,36960,46368,39131.446502772000,2.526359741320170
,f023565,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,1412,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023565,3176,5407040,2183.991666666670,5398208,10805216,8545511.629210950,940.7660517852540
,f023660,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,110,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023660,3066,63904,2183.991666666670,1782912,1846816,1796760.4637075100,73.28540715127740
,f023662,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,259,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023662,2807,429568,2183.991666666670,3046176,3475744,3333201.0539112200,172.04672497810200
,f023678,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,63,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023678,2744,0,2183.991666666670,1144000,1144000,1144000,41.93910895967110
,f023853,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,116,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023853,2628,64832,2183.991666666670,1883488,1948320,1897536.1181933700,77.08754313458970
,f023854,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,92,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023854,2536,57216,2183.991666666670,1468736,1525920,1480081.1095891000,60.8997804307765
,f023855,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,104,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023855,2432,49056,2183.991666666670,1726272,1775296,1735551.2153816100,69.31836177540580
,f023858,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,44,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023858,2388,148160,2183.991666666670,250400,398528,329531.1104819540,29.274600794843100
,f023859,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,44,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023859,2344,150368,2183.991666666670,245632,395968,319288.56590570000,29.15534692933700
,f023861,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,50,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023861,2294,176512,2183.991666666670,262816,439296,345024.90354435200,33.13285424568040
,f023868,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,44,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023868,2250,157984,2183.991666666670,218656,376608,293894.179999161,29.10822413567370
,f023869,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,46,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023869,2204,166304,2183.991666666670,213632,379904,292315.69949519000,30.015893081179700
,f023870,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,42,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023870,2162,144992,2183.991666666670,220416,365408,292845.9441313500,27.562073933310400
,f023871,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,45,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023871,2117,161920,2183.991666666670,218784,380672,298058.3502226430,29.71765573138640
,f023876,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,46,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023876,2071,168384,2183.991666666670,219296,387648,299051.000774576,30.504193666065000
,f023928,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,48,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023928,2023,169440,2183.991666666670,248544,417952,328525.9823488340,31.707297084565300
,f023982,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,4,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023982,2019,5280,2183.991666666670,47744,52992,50871.23220097760,2.4776865252410800
,f023983,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,4,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023983,2015,5696,2183.991666666670,38336,44000,41286.580977491500,2.174589440427320
,f023984,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,4,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023984,2011,9760,2183.991666666670,34560,44288,39246.06256892010,2.5714111789651
,f023985,CN,CN-ZJ,Longli Jia Tuo Mountain Windfarm,5,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f023985,2006,13344,2183.991666666670,30240,43552,34493.98534029820,2.8131229998664100
,f024006,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,97,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024006,1909,63040,2183.991666666670,1539904,1602944,1551601.9084932500,64.19761252498790
,f024007,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,95,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024007,1814,62912,2183.991666666670,1499040,1561952,1511947.5704959200,62.729027701573500
,f024008,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,81,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024008,1733,61792,2183.991666666670,1253312,1315104,1265810.161607760,53.575639436411700
,f024012,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,47,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024012,1686,173248,2183.991666666670,216320,389536,298960.52570408200,31.065344123994500
,f024013,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,55,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024013,1631,158304,2183.991666666670,413824,572096,489311.9074477560,36.30938580883710
,f024066,CN,CN-SC,Longli Jia Tuo Mountain Windfarm,69,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024066,1562,0,2183.991666666670,1252192,1252192,1252192,45.90543420142350
,f024081,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,59,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024081,1503,56416,2183.991666666670,874080,930464,885452.8068864730,39.00783099677120
,f024084,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,66,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024084,1437,52512,2183.991666666670,1004896,1057376,1016413.167144260,43.355786434254600
,f024136,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,45,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024136,1392,162144,2183.991666666670,223776,385888,298557.86323970900,29.761963112362100
,f024146,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,46,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024146,1346,170144,2183.991666666670,209120,379232,292114.24890968,30.45413995330920
,f024147,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,47,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024147,1299,172000,2183.991666666670,224192,396160,301850.1571205630,31.026447765518300
,f024148,CN,CN-JX,Longli Jia Tuo Mountain Windfarm,44,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024148,1255,157024,2183.991666666670,215040,372032,292514.2368827730,28.946227322160300
,f024182,CN,HK,Longli Jia Tuo Mountain Windfarm,9,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024182,1246,9376,2183.991666666670,128160,137536,131670.86138149200,5.915146668474670
,f024468,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,23,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024468,1223,90496,2183.991666666670,96768,187264,127075.80990464700,15.16066912967850
,f024511,CN,CN-GD,Longli Jia Tuo Mountain Windfarm,148,2021-04-01,2021-06-30,Renewable energy purchase for node on the Filecoin network with minerID f024511,1075,0,2183.991666666670,2674656,2674656,2674656.0000000000,98.05305018674660
