"ID","name","country","location","redemption_account","volume_required","start_date","end_date","redemption_purpose","supply_remaining","totalSealed_GiB","total_time_hours","initial_capacity_GiB","final_capacity_GiB","time_average_capacity_GiB","total_energy_upper_MWh"
"","f02416","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",884,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02416",14395,0,2183.991666666667,"16061664","16061664",16061664.000000007,588.8215704279961
"","f02417","CN","CN-HE","Longli Jia Tuo Mountain Windfarm",100,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02417",14295,0,2183.991666666667,"1814208","1814208",1814208,66.50897463942924
"","f02419","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",338,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02419",13957,1561280,2183.991666666667,"766112","2327392",1198474.3360589752,225.12271091134298
"","f02422","CN","CN-SN","Longli Jia Tuo Mountain Windfarm",532,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02422",13425,1289312,2183.991666666667,"4993728","6283008",5588548.142750893,354.50119045243633
"","f02492","CN","HK","Longli Jia Tuo Mountain Windfarm",59,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02492",13366,193152,2183.991666666667,"376192","569312",448841.2262867308,38.86983916726802
"","f02625","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",127,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02625",13239,379040,2183.991666666667,"849216","1228192",1092250.325253067,84.02956095673272
"","f02723","CN","CN-AH","Longli Jia Tuo Mountain Windfarm",207,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02723",13032,0,2183.991666666667,"3763200","3763200",3763200,137.95913884356153
"","f02725","CN","HK","Longli Jia Tuo Mountain Windfarm",9,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02725",13023,0,2183.991666666667,"159168","159168",159168,5.835108474556761
"","f02838","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",305,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f02838",12718,0,2183.991666666667,"5543552","5543552",5543552.000000001,203.2269504821703
"","f03134","CN","CN-TJ","Longli Jia Tuo Mountain Windfarm",72,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03134",12646,34016,2183.991666666667,"1158656","1192640",1191773.022699262,47.63802820730747
"","f03144","CN","HK","Longli Jia Tuo Mountain Windfarm",197,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03144",12449,0,2183.991666666667,"3570176","3570176",3570176,130.8828673681843
"","f03249","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",29,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03249",12420,0,2183.991666666667,"520896","520896",520896,19.09607875931543
"","f03328","CN","CN-HA","Longli Jia Tuo Mountain Windfarm",249,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03328",12171,984256,2183.991666666667,"1244704","2228928",1395662.468553359,165.3879951076039
"","f03345","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",11,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03345",12160,0,2183.991666666667,"197920","197920",197919.99999999997,7.25575913050534
"","f03358","CN","CN-NM","Longli Jia Tuo Mountain Windfarm",8,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03358",12152,0,2183.991666666667,"127872","127872",127871.99999999999,4.687795228051631
"","f03363","CN","CN-NM","Longli Jia Tuo Mountain Windfarm",37,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03363",12115,32,2183.991666666667,"667136","667136",667136,24.4609595751025
"","f03364","CN","CN-NM","Longli Jia Tuo Mountain Windfarm",69,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03364",12046,69728,2183.991666666667,"1017376","1087104",1024877.7349730401,45.664015082370696
"","f03482","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",134,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f03482",11912,0,2183.991666666667,"2427520","2427520",2427520,88.99302952952873
"","f04443","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f04443",11911,0,2183.991666666667,"16192","16192",16192,0.5935996960445761
"","f05664","CN","HK","Longli Jia Tuo Mountain Windfarm",10,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f05664",11901,9856,2183.991666666667,"132512","142336",140436.9726074962,6.292216842278403
"","f07945","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",8,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f07945",11893,0,2183.991666666667,"127776","127776",127776.00000000001,4.684275862264807
"","f07969","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",8,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f07969",11885,0,2183.991666666667,"142432","142432",142432,5.221565705720173
"","f07998","CN","CN-HB","Longli Jia Tuo Mountain Windfarm",3,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f07998",11882,0,2183.991666666667,"46848","46848",46847.99999999999,1.7174505039708678
"","f08019","CN","CN-SD","Longli Jia Tuo Mountain Windfarm",18,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08019",11864,0,2183.991666666667,"318208","318208",318208,11.665524461397753
"","f08094","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",76,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08094",11788,138080,2183.991666666667,"868736","1006784",933134.2170261628,50.232942900920456
"","f08148","CN","HK","Longli Jia Tuo Mountain Windfarm",108,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08148",11680,0,2183.991666666667,"1954496","1954496",1954495.9999999998,71.65194117591028
"","f08157","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",40,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08157",11640,5312,2183.991666666667,"700256","705536",704932.7734003871,26.459335652592976
"","f08242","CN","HK","Longli Jia Tuo Mountain Windfarm",3,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f08242",11637,0,2183.991666666667,"54080","54080",54079.999999999985,1.9825760599117257
"","f09002","CN","CN-SN","Longli Jia Tuo Mountain Windfarm",441,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f09002",11196,0,2183.991666666667,"8010592","8010592",8010591.999999995,293.66878559394206
"","f09620","CN","CN-SD","Longli Jia Tuo Mountain Windfarm",119,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f09620",11077,0,2183.991666666667,"2155744","2155744",2155744,79.0297049870256
"","f09693","CN","CN-XJ","Longli Jia Tuo Mountain Windfarm",134,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f09693",10943,0,2183.991666666667,"2421696","2421696",2421696,88.7795213384613
"","f010399","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",30,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010399",10913,12704,2183.991666666667,"494240","506944",500499.44366393297,19.822639182099305
"","f010400","CN","CN-LN","Longli Jia Tuo Mountain Windfarm",465,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010400",10448,2203072,2183.991666666667,"488608","2691648",1473217.4448162674,309.67478192529035
"","f010507","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",13,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010507",10435,28544,2183.991666666667,"133696","162208",143851.70077724673,8.586143688142386
"","f010528","CN","CN-CQ","Longli Jia Tuo Mountain Windfarm",11,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f010528",10424,0,2183.991666666667,"189472","189472",189472,6.946054941264692
"","f014251","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",276,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f014251",10148,35136,2183.991666666667,"4862720","4897824",4894387.23133101,183.50606430553023
"","f014394","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f014394",10146,0,2183.991666666667,"21920","21920",21920,0.8035885213251672
"","f014522","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",38,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f014522",10108,20640,2183.991666666667,"603328","623936",620903.658637281,25.15763789057776
"","f014569","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",155,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f014569",9953,0,2183.991666666667,"2815232","2815232",2815232,103.20657482058819
"","f015233","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",92,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f015233",9861,205056,2183.991666666667,"956768","1161792",1020243.6518454317,61.198945926550714
"","f015685","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f015685",9860,0,2183.991666666667,"12064","12064",12064,0.4422669672110774
"","f015897","CN","HK","Longli Jia Tuo Mountain Windfarm",43,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f015897",9817,0,2183.991666666667,"764192","764192",764192,28.01532478506031
"","f016276","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f016276",9816,0,2183.991666666667,"4864","4864",4863.999999999999,0.17831453319916116
"","f017665","CN","CN-LN","Longli Jia Tuo Mountain Windfarm",127,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f017665",9689,422720,2183.991666666667,"642784","1065504",969746.1973832299,84.6076169581855
"","f019002","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",717,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f019002",8972,1876704,2183.991666666667,"5795104","7671744",7096990.802681642,477.96764049032896
"","f019240","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",51,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f019240",8921,9440,2183.991666666667,"877664","886912",886816.6609304827,33.60626440074678
"","f019362","CN","CN-HB","Longli Jia Tuo Mountain Windfarm",14,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f019362",8907,48704,2183.991666666667,"58144","106816",85236.65758797913,8.776881000914745
"","f019638","CN","CN-NM","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f019638",8905,64,2183.991666666667,"35968","36032",36029.81134696027,1.3282822568817825
"","f020331","CN","CN-XX","Longli Jia Tuo Mountain Windfarm",544,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020331",8361,0,2183.991666666667,"9878688","9878688",9878687.999999998,362.15329756170945
"","f020398","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020398",8360,0,2183.991666666667,"11392","11392",11392.000000000002,0.41763140670329857
"","f020436","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",1,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020436",8359,1824,2183.991666666667,"11488","13312",12213.77908187989,0.6594331071817583
"","f020523","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020523",8357,0,2183.991666666667,"22016","22016",22015.999999999996,0.8071078871119926
"","f020742","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",277,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f020742",8080,0,2183.991666666667,"5029056","5029056",5029055.999999998,184.36549610864316
"","f021444","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f021444",8078,0,2183.991666666667,"25120","25120",25119.999999999996,0.920900714219352
"","f021525","CN","CN-GD","Longli Jia Tuo Mountain Windfarm",909,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f021525",7169,0,2183.991666666667,"16518752","16518752",16518751.999999998,605.5784440610012
"","f021532","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",72,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f021532",7097,0,2183.991666666667,"1304640","1304640",1304640,47.82818104295921
"","f021961","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",461,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f021961",6636,666432,2183.991666666667,"5828704","6495040",6272723.360269245,307.2978609917895
"","f022111","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",65,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022111",6571,0,2183.991666666667,"1181696","1181696",1181696.0000000002,43.32104659196463
"","f022227","CN","CN-JS","Longli Jia Tuo Mountain Windfarm",41,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022227",6530,0,2183.991666666667,"743936","743936",743936,27.272738604040125
"","f022289","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",53,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022289",6477,32,2183.991666666667,"949440","949472",949471.99377287,34.811414125869476
"","f022308","CN","CN-AH","Longli Jia Tuo Mountain Windfarm",35,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022308",6442,0,2183.991666666667,"626336","626336",626336,22.961515515178824
"","f022399","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",17,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022399",6425,65568,2183.991666666667,"57536","123104",84476.83039083655,10.706093165588227
"","f022566","CN","CN-XX","Longli Jia Tuo Mountain Windfarm",13,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022566",6412,45824,2183.991666666667,"32288","78080",75800.25198508846,8.096717755638386
"","f022687","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",2,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022687",6410,0,2183.991666666667,"35808","35808",35808,1.3127234384859299
"","f022748","CN","CN-HA","Longli Jia Tuo Mountain Windfarm",132,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022748",6278,0,2183.991666666667,"2388800","2388800",2388800,87.57355199550909
"","f022832","CN","CN-BJ","Longli Jia Tuo Mountain Windfarm",90,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022832",6188,182176,2183.991666666667,"948320","1130464",1059284.9839628518,59.97497914155307
"","f022853","CN","CN-FJ","Longli Jia Tuo Mountain Windfarm",200,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f022853",5988,0,2183.991666666667,"3622688","3622688",3622688,132.8079604535779
"","f023152","CN","CN-SD","Longli Jia Tuo Mountain Windfarm",215,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023152",5773,0,2183.991666666667,"3892256","3892256",3892255.9999999995,142.690339582984
"","f023179","CN","CN-XX","Longli Jia Tuo Mountain Windfarm",8,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023179",5765,0,2183.991666666667,"128544","128544",128544,4.712430788559411
"","f023198","CN","CN-SN","Longli Jia Tuo Mountain Windfarm",1006,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023198",4759,3399648,2183.991666666667,"5409792","8809344",7523286.524261799,670.3333434220591
"","f023200","CN","CN-SH","Longli Jia Tuo Mountain Windfarm",162,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023200",4597,0,2183.991666666667,"2943808","2943808",2943808,107.92017873107653
"","f023462","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",5,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023462",4592,13504,2183.991666666667,"30848","44352",34192.21874320336,2.820628220840659
"","f023534","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",4,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023534",4588,9408,2183.991666666667,"36960","46368",39131.446502772036,2.526359741320174
"","f023565","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",1412,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023565",3176,5407040,2183.991666666667,"5398208","10805216",8545511.629210953,940.7660517852544
"","f023660","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",110,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023660",3066,63904,2183.991666666667,"1782912","1846816",1796760.4637075095,73.28540715127738
"","f023662","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",259,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023662",2807,429568,2183.991666666667,"3046176","3475744",3333201.0539112235,172.04672497810205
"","f023678","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",63,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023678",2744,0,2183.991666666667,"1144000","1144000",1144000,41.93910895967113
"","f023853","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",116,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023853",2628,64832,2183.991666666667,"1883488","1948320",1897536.1181933656,77.08754313458974
"","f023854","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",92,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023854",2536,57216,2183.991666666667,"1468736","1525920",1480081.1095890964,60.8997804307765
"","f023855","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",104,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023855",2432,49056,2183.991666666667,"1726272","1775296",1735551.2153816123,69.31836177540578
"","f023858","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",44,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023858",2388,148160,2183.991666666667,"250400","398528",329531.1104819543,29.274600794843103
"","f023859","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",44,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023859",2344,150368,2183.991666666667,"245632","395968",319288.56590569956,29.15534692933695
"","f023861","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",50,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023861",2294,176512,2183.991666666667,"262816","439296",345024.90354435187,33.13285424568036
"","f023868","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",44,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023868",2250,157984,2183.991666666667,"218656","376608",293894.179999161,29.10822413567367
"","f023869","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",46,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023869",2204,166304,2183.991666666667,"213632","379904",292315.69949519023,30.015893081179687
"","f023870","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",42,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023870",2162,144992,2183.991666666667,"220416","365408",292845.9441313496,27.562073933310383
"","f023871","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",45,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023871",2117,161920,2183.991666666667,"218784","380672",298058.3502226429,29.71765573138639
"","f023876","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",46,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023876",2071,168384,2183.991666666667,"219296","387648",299051.000774576,30.504193666064978
"","f023928","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",48,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023928",2023,169440,2183.991666666667,"248544","417952",328525.9823488339,31.707297084565287
"","f023982","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",4,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023982",2019,5280,2183.991666666667,"47744","52992",50871.23220097759,2.4776865252410794
"","f023983","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",4,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023983",2015,5696,2183.991666666667,"38336","44000",41286.580977491525,2.174589440427315
"","f023984","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",4,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023984",2011,9760,2183.991666666667,"34560","44288",39246.06256892007,2.5714111789651
"","f023985","CN","CN-ZJ","Longli Jia Tuo Mountain Windfarm",5,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f023985",2006,13344,2183.991666666667,"30240","43552",34493.98534029815,2.8131229998664065
"","f024006","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",97,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024006",1909,63040,2183.991666666667,"1539904","1602944",1551601.9084932464,64.19761252498787
"","f024007","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",95,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024007",1814,62912,2183.991666666667,"1499040","1561952",1511947.5704959177,62.729027701573536
"","f024008","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",81,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024008",1733,61792,2183.991666666667,"1253312","1315104",1265810.161607758,53.575639436411734
"","f024012","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",47,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024012",1686,173248,2183.991666666667,"216320","389536",298960.52570408204,31.065344123994528
"","f024013","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",55,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024013",1631,158304,2183.991666666667,"413824","572096",489311.9074477557,36.30938580883706
"","f024066","CN","CN-SC","Longli Jia Tuo Mountain Windfarm",69,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024066",1562,0,2183.991666666667,"1252192","1252192",1252192,45.90543420142352
"","f024081","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",59,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024081",1503,56416,2183.991666666667,"874080","930464",885452.8068864726,39.00783099677116
"","f024084","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",66,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024084",1437,52512,2183.991666666667,"1004896","1057376",1016413.167144258,43.355786434254576
"","f024136","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",45,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024136",1392,162144,2183.991666666667,"223776","385888",298557.86323970894,29.761963112362086
"","f024146","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",46,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024146",1346,170144,2183.991666666667,"209120","379232",292114.24890968,30.45413995330917
"","f024147","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",47,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024147",1299,172000,2183.991666666667,"224192","396160",301850.1571205627,31.026447765518327
"","f024148","CN","CN-JX","Longli Jia Tuo Mountain Windfarm",44,"2021-04-01","2021-06-30","Renewable energy purchase for node on the Filecoin network with minerID f024148",1255,157024,2183.991666666667,"215040","372032",292514.2368827728,28.946227322160286
